ICD9_CODE,LONG_TITLE
0527,Chickenpox with other specified complications
0529,Varicella without mention of complication
0530,Herpes zoster with meningitis
05311,Geniculate herpes zoster
05312,Postherpetic trigeminal neuralgia
05313,Postherpetic polyneuropathy
05314,Herpes zoster myelitis
05319,Herpes zoster with other nervous system complications
05320,Herpes zoster dermatitis of eyelid
05329,Herpes zoster with other ophthalmic complications
05371,Otitis externa due to herpes zoster
05379,Herpes zoster with other specified complications
0539,Herpes zoster without mention of complication
0540,Eczema herpeticum
05410,"Genital herpes, unspecified"
05412,Herpetic ulceration of vulva
05413,Herpetic infection of penis
05419,Other genital herpes
0542,Herpetic gingivostomatitis
0543,Herpetic meningoencephalitis
05440,Herpes simplex with unspecified ophthalmic complication
05443,Herpes simplex disciform keratitis
0545,Herpetic septicemia
05471,Visceral herpes simplex
05472,Herpes simplex meningitis
05479,Herpes simplex with other specified complications
0549,Herpes simplex without mention of complication
0578,Other specified viral exanthemata
0579,"Viral exanthem, unspecified"
05821,Human herpesvirus 6 encephalitis
05829,Other human herpesvirus encephalitis
05881,Human herpesvirus 6 infection
05889,Other human herpesvirus infection
0622,Eastern equine encephalitis
06641,West Nile Fever with encephalitis
06642,West Nile Fever with other neurologic manifestation
0700,Viral hepatitis A with hepatic coma
0701,Viral hepatitis A without mention of hepatic coma
07020,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
07022,Chronic viral hepatitis B with hepatic coma without hepatitis delta
07030,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
07031,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
07032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
07033,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
07041,Acute hepatitis C with hepatic coma
07044,Chronic hepatitis C with hepatic coma
07049,Other specified viral hepatitis with hepatic coma
07051,Acute hepatitis C without mention of hepatic coma
07052,Hepatitis delta without mention of active hepatitis B disease or hepatic coma
07053,Hepatitis E without mention of hepatic coma
07054,Chronic hepatitis C without mention of hepatic coma
07059,Other specified viral hepatitis without mention of hepatic coma
07070,Unspecified viral hepatitis C without hepatic coma
07071,Unspecified viral hepatitis C with hepatic coma
0709,Unspecified viral hepatitis without mention of hepatic coma
075,Infectious mononucleosis
0778,Other viral conjunctivitis
07799,Unspecified diseases of conjunctiva due to viruses
0780,Molluscum contagiosum
07810,"Viral warts, unspecified"
07811,Condyloma acuminatum
07819,Other specified viral warts
0785,Cytomegaloviral disease
07889,Other specified diseases due to viruses
0790,Adenovirus infection in conditions classified elsewhere and of unspecified site
0793,Rhinovirus infection in conditions classified elsewhere and of unspecified site
0794,Human papillomavirus in conditions classified elsewhere and of unspecified site
07951,"Human T-cell lymphotrophic virus, type I [HTLV-I]"
07953,"Human immunodeficiency virus, type 2 [HIV-2]"
0796,Respiratory syncytial virus (RSV)
07983,Parvovirus B19
07989,Other specified viral infection
07998,Unspecified chlamydial infection
07999,Unspecified viral infection
08240,"Ehrlichiosis, unspecified"
08249,Other ehrlichiosis
0839,"Rickettsiosis, unspecified"
0840,Falciparum malaria [malignant tertian]
0844,Other malaria
0846,"Malaria, unspecified"
0849,Other pernicious complications of malaria
0859,"Leishmaniasis, unspecified"
0860,Chagas' disease with heart involvement
0880,Bartonellosis
08881,Lyme Disease
08882,Babesiosis
0902,"Early congenital syphilis, unspecified"
0912,Other primary syphilis
09152,Syphilitic iridocyclitis (secondary)
09181,Acute syphilitic meningitis (secondary)
0919,Unspecified secondary syphilis
0931,Syphilitic aortitis
0940,Tabes dorsalis
0949,"Neurosyphilis, unspecified"
096,"Late syphilis, latent"
0970,"Late syphilis, unspecified"
0971,"Latent syphilis, unspecified"
0979,"Syphilis, unspecified"
0980,Gonococcal infection (acute) of lower genitourinary tract
0993,Reiter's disease
1100,Dermatophytosis of scalp and beard
1101,Dermatophytosis of nail
1103,Dermatophytosis of groin and perianal area
1104,Dermatophytosis of foot
1105,Dermatophytosis of the body
1106,Deep seated dermatophytosis
1108,Dermatophytosis of other specified sites
1109,Dermatophytosis of unspecified site
1110,Pityriasis versicolor
1118,Other specified dermatomycoses
1119,"Dermatomycosis, unspecified"
1120,Candidiasis of mouth
1121,Candidiasis of vulva and vagina
1122,Candidiasis of other urogenital sites
1123,Candidiasis of skin and nails
1124,Candidiasis of lung
1125,Disseminated candidiasis
11281,Candidal endocarditis
11283,Candidal meningitis
11284,Candidal esophagitis
11285,Candidal enteritis
11289,Other candidiasis of other specified sites
1129,Candidiasis of unspecified site
1140,Primary coccidioidomycosis (pulmonary)
1149,"Coccidioidomycosis, unspecified"
11505,"Infection by Histoplasma capsulatum, pneumonia"
11519,"Infection by Histoplasma duboisii, other"
11590,"Histoplasmosis, unspecified, without mention of manifestation"
11599,"Histoplasmosis, unspecified, other"
1160,Blastomycosis
1173,Aspergillosis
1174,Mycotic mycetomas
1175,Cryptococcosis
1177,Zygomycosis [Phycomycosis or Mucormycosis]
1179,Other and unspecified mycoses
118,Opportunistic mycoses
1208,Other specified schistosomiasis
1209,"Schistosomiasis, unspecified"
1211,Clonorchiasis
1228,"Echinococcosis, unspecified, of liver"
1231,Cysticercosis
1251,Malayan filariasis
1270,Ascariasis
1272,Strongyloidiasis
1273,Trichuriasis
1300,Meningoencephalitis due to toxoplasmosis
1307,Toxoplasmosis of other specified sites
1308,Multisystemic disseminated toxoplasmosis
1309,"Toxoplasmosis, unspecified"
13101,Trichomonal vulvovaginitis
13102,Trichomonal urethritis
13109,Other urogenital trichomoniasis
1320,Pediculus capitis [head louse]
1329,"Pediculosis, unspecified"
1330,Scabies
1348,Other specified infestations
135,Sarcoidosis
1361,Behcet's syndrome
1363,Pneumocystosis
1369,Unspecified infectious and parasitic diseases
1370,Late effects of respiratory or unspecified tuberculosis
1373,Late effects of tuberculosis of bones and joints
138,Late effects of acute poliomyelitis
1390,Late effects of viral encephalitis
1398,Late effects of other and unspecified infectious and parasitic diseases
1400,"Malignant neoplasm of upper lip, vermilion border"
1401,"Malignant neoplasm of lower lip, vermilion border"
1409,"Malignant neoplasm of lip, unspecified, vermilion border"
1410,Malignant neoplasm of base of tongue
1414,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
1418,Malignant neoplasm of other sites of tongue
1419,"Malignant neoplasm of tongue, unspecified"
1420,Malignant neoplasm of parotid gland
1429,"Malignant neoplasm of salivary gland, unspecified"
1430,Malignant neoplasm of upper gum
1431,Malignant neoplasm of lower gum
1439,"Malignant neoplasm of gum, unspecified"
1440,Malignant neoplasm of anterior portion of floor of mouth
1448,Malignant neoplasm of other sites of floor of mouth
1449,"Malignant neoplasm of floor of mouth, part unspecified"
1450,Malignant neoplasm of cheek mucosa
1452,Malignant neoplasm of hard palate
1453,Malignant neoplasm of soft palate
1455,"Malignant neoplasm of palate, unspecified"
1458,Malignant neoplasm of other specified parts of mouth
1460,Malignant neoplasm of tonsil
1461,Malignant neoplasm of tonsillar fossa
1463,Malignant neoplasm of vallecula epiglottica
1464,Malignant neoplasm of anterior aspect of epiglottis
1467,Malignant neoplasm of posterior wall of oropharynx
1468,Malignant neoplasm of other specified sites of oropharynx
1469,"Malignant neoplasm of oropharynx, unspecified site"
1471,Malignant neoplasm of posterior wall of nasopharynx
1478,Malignant neoplasm of other specified sites of nasopharynx
1479,"Malignant neoplasm of nasopharynx, unspecified site"
1481,Malignant neoplasm of pyriform sinus
1488,Malignant neoplasm of other specified sites of hypopharynx
1489,"Malignant neoplasm of hypopharynx, unspecified site"
1490,"Malignant neoplasm of pharynx, unspecified"
1498,Malignant neoplasm of other sites within the lip and oral cavity
1500,Malignant neoplasm of cervical esophagus
1501,Malignant neoplasm of thoracic esophagus
1503,Malignant neoplasm of upper third of esophagus
1504,Malignant neoplasm of middle third of esophagus
1505,Malignant neoplasm of lower third of esophagus
1508,Malignant neoplasm of other specified part of esophagus
1509,"Malignant neoplasm of esophagus, unspecified site"
1510,Malignant neoplasm of cardia
1511,Malignant neoplasm of pylorus
1512,Malignant neoplasm of pyloric antrum
1513,Malignant neoplasm of fundus of stomach
1514,Malignant neoplasm of body of stomach
1515,"Malignant neoplasm of lesser curvature of stomach, unspecified"
1516,"Malignant neoplasm of greater curvature of stomach, unspecified"
1518,Malignant neoplasm of other specified sites of stomach
1519,"Malignant neoplasm of stomach, unspecified site"
1520,Malignant neoplasm of duodenum
1521,Malignant neoplasm of jejunum
1522,Malignant neoplasm of ileum
1528,Malignant neoplasm of other specified sites of small intestine
1529,"Malignant neoplasm of small intestine, unspecified site"
1530,Malignant neoplasm of hepatic flexure
1531,Malignant neoplasm of transverse colon
1532,Malignant neoplasm of descending colon
1533,Malignant neoplasm of sigmoid colon
1534,Malignant neoplasm of cecum
1535,Malignant neoplasm of appendix vermiformis
1536,Malignant neoplasm of ascending colon
1537,Malignant neoplasm of splenic flexure
1538,Malignant neoplasm of other specified sites of large intestine
1539,"Malignant neoplasm of colon, unspecified site"
1540,Malignant neoplasm of rectosigmoid junction
1541,Malignant neoplasm of rectum
1542,Malignant neoplasm of anal canal
1543,"Malignant neoplasm of anus, unspecified site"
1548,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
1550,"Malignant neoplasm of liver, primary"
1551,Malignant neoplasm of intrahepatic bile ducts
1552,"Malignant neoplasm of liver, not specified as primary or secondary"
1560,Malignant neoplasm of gallbladder
1561,Malignant neoplasm of extrahepatic bile ducts
1562,Malignant neoplasm of ampulla of vater
1568,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1569,"Malignant neoplasm of biliary tract, part unspecified site"
1570,Malignant neoplasm of head of pancreas
1571,Malignant neoplasm of body of pancreas
1572,Malignant neoplasm of tail of pancreas
1573,Malignant neoplasm of pancreatic duct
1574,Malignant neoplasm of islets of langerhans
1578,Malignant neoplasm of other specified sites of pancreas
1579,"Malignant neoplasm of pancreas, part unspecified"
1580,Malignant neoplasm of retroperitoneum
1588,Malignant neoplasm of specified parts of peritoneum
1589,"Malignant neoplasm of peritoneum, unspecified"
1598,Malignant neoplasm of other sites of digestive system and intra-abdominal organs
1599,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
1602,Malignant neoplasm of maxillary sinus
1603,Malignant neoplasm of ethmoidal sinus
1608,Malignant neoplasm of other accessory sinuses
1609,"Malignant neoplasm of accessory sinus, unspecified"
1610,Malignant neoplasm of glottis
1611,Malignant neoplasm of supraglottis
1612,Malignant neoplasm of subglottis
1613,Malignant neoplasm of laryngeal cartilages
1618,Malignant neoplasm of other specified sites of larynx
1619,"Malignant neoplasm of larynx, unspecified"
1620,Malignant neoplasm of trachea
1622,Malignant neoplasm of main bronchus
1623,"Malignant neoplasm of upper lobe, bronchus or lung"
1624,"Malignant neoplasm of middle lobe, bronchus or lung"
1625,"Malignant neoplasm of lower lobe, bronchus or lung"
1628,Malignant neoplasm of other parts of bronchus or lung
1629,"Malignant neoplasm of bronchus and lung, unspecified"
1630,Malignant neoplasm of parietal pleura
1638,Malignant neoplasm of other specified sites of pleura
1639,"Malignant neoplasm of pleura, unspecified"
1640,Malignant neoplasm of thymus
1641,Malignant neoplasm of heart
1642,Malignant neoplasm of anterior mediastinum
1643,Malignant neoplasm of posterior mediastinum
1648,Malignant neoplasm of other parts of mediastinum
1649,"Malignant neoplasm of mediastinum, part unspecified"
1700,"Malignant neoplasm of bones of skull and face, except mandible"
1702,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx"
1703,"Malignant neoplasm of ribs, sternum, and clavicle"
1707,Malignant neoplasm of long bones of lower limb
1710,"Malignant neoplasm of connective and other soft tissue of head, face, and neck"
1712,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder"
1713,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip"
1714,Malignant neoplasm of connective and other soft tissue of thorax
1715,Malignant neoplasm of connective and other soft tissue of abdomen
1716,Malignant neoplasm of connective and other soft tissue of pelvis
1717,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified"
1718,Malignant neoplasm of other specified sites of connective and other soft tissue
1720,Malignant melanoma of skin of lip
1723,Malignant melanoma of skin of other and unspecified parts of face
1724,Malignant melanoma of skin of scalp and neck
1725,"Malignant melanoma of skin of trunk, except scrotum"
1726,"Malignant melanoma of skin of upper limb, including shoulder"
1727,"Malignant melanoma of skin of lower limb, including hip"
1728,Malignant melanoma of other specified sites of skin
1729,"Melanoma of skin, site unspecified"
17322,Squamous cell carcinoma of skin of ear and external auditory canal
17331,Basal cell carcinoma of skin of other and unspecified parts of face
17332,Squamous cell carcinoma of skin of other and unspecified parts of face
17341,Basal cell carcinoma of scalp and skin of neck
17342,Squamous cell carcinoma of scalp and skin of neck
17372,"Squamous cell carcinoma of skin of lower limb, including hip"
1743,Malignant neoplasm of lower-inner quadrant of female breast
1744,Malignant neoplasm of upper-outer quadrant of female breast
1745,Malignant neoplasm of lower-outer quadrant of female breast
1748,Malignant neoplasm of other specified sites of female breast
1749,"Malignant neoplasm of breast (female), unspecified"
1759,Malignant neoplasm of other and unspecified sites of male breast
1760,"Kaposi's sarcoma, skin"
1761,"Kaposi's sarcoma, soft tissue"
1763,"Kaposi's sarcoma, gastrointestinal sites"
1764,"Kaposi's sarcoma, lung"
1765,"Kaposi's sarcoma, lymph nodes"
1768,"Kaposi's sarcoma, other specified sites"
1769,"Kaposi's sarcoma, unspecified site"
179,"Malignant neoplasm of uterus, part unspecified"
1800,Malignant neoplasm of endocervix
1808,Malignant neoplasm of other specified sites of cervix
1809,"Malignant neoplasm of cervix uteri, unspecified site"
1820,"Malignant neoplasm of corpus uteri, except isthmus"
1830,Malignant neoplasm of ovary
1832,Malignant neoplasm of fallopian tube
1838,Malignant neoplasm of other specified sites of uterine adnexa
1840,Malignant neoplasm of vagina
1844,"Malignant neoplasm of vulva, unspecified site"
1848,Malignant neoplasm of other specified sites of female genital organs
185,Malignant neoplasm of prostate
1869,Malignant neoplasm of other and unspecified testis
1874,"Malignant neoplasm of penis, part unspecified"
1880,Malignant neoplasm of trigone of urinary bladder
1881,Malignant neoplasm of dome of urinary bladder
1882,Malignant neoplasm of lateral wall of urinary bladder
1883,Malignant neoplasm of anterior wall of urinary bladder
1884,Malignant neoplasm of posterior wall of urinary bladder
1885,Malignant neoplasm of bladder neck
1888,Malignant neoplasm of other specified sites of bladder
1889,"Malignant neoplasm of bladder, part unspecified"
1890,"Malignant neoplasm of kidney, except pelvis"
1891,Malignant neoplasm of renal pelvis
1892,Malignant neoplasm of ureter
1893,Malignant neoplasm of urethra
1898,Malignant neoplasm of other specified sites of urinary organs
1905,Malignant neoplasm of retina
1906,Malignant neoplasm of choroid
1910,"Malignant neoplasm of cerebrum, except lobes and ventricles"
1911,Malignant neoplasm of frontal lobe
1912,Malignant neoplasm of temporal lobe
1913,Malignant neoplasm of parietal lobe
1914,Malignant neoplasm of occipital lobe
1915,Malignant neoplasm of ventricles
1916,Malignant neoplasm of cerebellum nos
1917,Malignant neoplasm of brain stem
1918,Malignant neoplasm of other parts of brain
1919,"Malignant neoplasm of brain, unspecified"
1920,Malignant neoplasm of cranial nerves
1921,Malignant neoplasm of cerebral meninges
1922,Malignant neoplasm of spinal cord
193,Malignant neoplasm of thyroid gland
1940,Malignant neoplasm of adrenal gland
1941,Malignant neoplasm of parathyroid gland
1943,Malignant neoplasm of pituitary gland and craniopharyngeal duct
1945,Malignant neoplasm of carotid body
1950,"Malignant neoplasm of head, face, and neck"
1951,Malignant neoplasm of thorax
1952,Malignant neoplasm of abdomen
1953,Malignant neoplasm of pelvis
1958,Malignant neoplasm of other specified sites
1960,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1962,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
1963,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
1965,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
1966,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
1968,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
1969,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified"
1970,Secondary malignant neoplasm of lung
1971,Secondary malignant neoplasm of mediastinum
1972,Secondary malignant neoplasm of pleura
1973,Secondary malignant neoplasm of other respiratory organs
1974,Secondary malignant neoplasm of small intestine including duodenum
1975,Secondary malignant neoplasm of large intestine and rectum
1976,Secondary malignant neoplasm of retroperitoneum and peritoneum
1977,"Malignant neoplasm of liver, secondary"
1978,Secondary malignant neoplasm of other digestive organs and spleen
1980,Secondary malignant neoplasm of kidney
1981,Secondary malignant neoplasm of other urinary organs
1982,Secondary malignant neoplasm of skin
1983,Secondary malignant neoplasm of brain and spinal cord
1984,Secondary malignant neoplasm of other parts of nervous system
1985,Secondary malignant neoplasm of bone and bone marrow
1986,Secondary malignant neoplasm of ovary
1987,Secondary malignant neoplasm of adrenal gland
19881,Secondary malignant neoplasm of breast
19882,Secondary malignant neoplasm of genital organs
19889,Secondary malignant neoplasm of other specified sites
1990,Disseminated malignant neoplasm without specification of site
1991,Other malignant neoplasm without specification of site
20000,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
20001,"Reticulosarcoma, lymph nodes of head, face, and neck"
20002,"Reticulosarcoma, intrathoracic lymph nodes"
20003,"Reticulosarcoma, intra-abdominal lymph nodes"
20005,"Reticulosarcoma, lymph nodes of inguinal region and lower limb"
20008,"Reticulosarcoma, lymph nodes of multiple sites"
20010,"Lymphosarcoma, unspecified site, extranodal and solid organ sites"
20011,"Lymphosarcoma, lymph nodes of head, face, and neck"
20018,"Lymphosarcoma, lymph nodes of multiple sites"
20020,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
20021,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
20022,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes"
20023,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
20024,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
20028,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
20030,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites"
20033,"Marginal zone lymphoma, intraabdominal lymph nodes"
20037,"Marginal zone lymphoma, spleen"
20040,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites"
20042,"Mantle cell lymphoma, intrathoracic lymph nodes"
20047,"Mantle cell lymphoma, spleen"
20048,"Mantle cell lymphoma, lymph nodes of multiple sites"
20050,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
20060,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
20070,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
20071,"Large cell lymphoma, lymph nodes of head, face, and neck"
20078,"Large cell lymphoma, lymph nodes of multiple sites"
20080,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
20148,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites"
20150,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
20152,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes"
20158,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
20190,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
20191,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck"
20192,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes"
20198,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
20200,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
20201,"Nodular lymphoma, lymph nodes of head, face, and neck"
20203,"Nodular lymphoma, intra-abdominal lymph nodes"
20205,"Nodular lymphoma, lymph nodes of inguinal region and lower limb"
20206,"Nodular lymphoma, intrapelvic lymph nodes"
20208,"Nodular lymphoma, lymph nodes of multiple sites"
20210,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
20211,"Mycosis fungoides, lymph nodes of head, face, and neck"
20212,"Mycosis fungoides, intrathoracic lymph nodes"
20213,"Mycosis fungoides, intra-abdominal lymph nodes"
20218,"Mycosis fungoides, lymph nodes of multiple sites"
20220,"Sezary's disease, unspecified site, extranodal and solid organ sites"
20240,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites"
